id,name,age,height_meter,weight_kg,children,occupation,academic_degree,salary,location
110,Myrl Glenn,31,1.51,58,1,Teachers Assistant,Bachelor,66,Louisiana
111,Matha Santiago,65,1.63,55,4,Mill Operator,PhD,82,South Dakota
112,Alishia Leon,65,1.97,43,1,Riding Instructor,Master,75,South Dakota
113,Zulma Roach,21,1.62,68,5,Technical Director,Master,83,West Virginia
114,Anamaria Brady,50,1.65,63,5,Maid,Master,81,Delaware
115,Miesha Joyner,21,1.78,60,3,Warehouseman,Master,81,South Dakota
116,Maryalice Perry,29,1.73,57,2,Lineman,Bachelor,67,Louisiana
117,Hassie Galloway,22,1.56,72,5,Hypnotist,Bachelor,86,Delaware
118,Janett Reese,43,1.74,84,4,Transport Manager,PhD,68,Louisiana
119,Larae Bright,33,1.92,56,1,Product Installer,Bachelor,83,Louisiana
120,Leonida Alvarez,20,1.85,46,2,Bank Messenger,Bachelor,84,South Dakota
121,Zandra Forbes,44,1.85,46,5,Technical Director,Bachelor,86,Louisiana
122,Allena Mccray,54,1.64,68,3,Plant Manager,Bachelor,81,Alaska
123,Blake Dunn,34,1.97,68,0,Building Control,Master,71,Alaska
124,Tambra Blair,33,1.79,81,0,Green Keeper,Bachelor,73,West Virginia
125,Lesha Bowers,26,2,45,4,Sales Executive,PhD,86,Alaska
126,Jennine Rosario,47,1.76,66,3,Nursing Sister,PhD,75,South Dakota
127,Rochell Freeman,18,1.78,41,4,Child Minder,Bachelor,79,Louisiana
128,Jacqui Erickson,54,1.83,48,1,Horticultural Consultant,PhD,68,South Dakota
129,Celesta Chambers,52,1.5,66,5,Street Trader,Master,71,Louisiana
130,Arlette Diaz,34,1.64,56,5,Sports Coach,Bachelor,69,Alaska
131,Johnette Washington,22,1.63,88,5,Interior Decorator,Master,72,Alaska
132,Dede Maldonado,36,1.61,47,2,Gate Keeper,Bachelor,70,West Virginia
133,Buffy Chen,52,1.9,76,5,Nanny,Master,87,Alaska
134,Despina Johnston,57,1.84,82,3,Metallurgist,PhD,90,Louisiana
135,Wesley Klein,18,1.72,76,0,Shepherd,PhD,86,Louisiana
136,Luetta Mercado,37,1.63,43,1,Analytical Chemist,PhD,86,South Dakota
137,Kimbra Mcdonald,26,1.52,86,1,Stud Hand,PhD,73,South Dakota
138,Sandee Walsh,24,1.64,75,3,Technical Engineer,Bachelor,88,Louisiana
139,Sheryll Graham,27,1.7,58,5,Circus Worker,Bachelor,73,Alaska
140,Magan Higgins,56,1.85,56,5,Research Consultant,PhD,71,Alaska
141,Asuncion Ingram,31,1.54,54,2,Editor,Master,86,Alaska
142,Tonisha Silva,50,1.99,80,4,Steeplejack,Master,80,Alaska
143,Breann Compton,21,1.76,77,3,Showman,Bachelor,67,West Virginia
144,Inell Estrada,35,1.77,56,3,Taxi Controller,Bachelor,66,South Dakota
145,Ardell York,39,1.82,89,1,Hardware Dealer,Master,89,Delaware
146,Yuko Alvarez,58,1.78,43,1,Decorator,Master,73,Delaware
147,Delicia Newman,65,1.92,69,5,Night Watchman,PhD,79,Louisiana
148,Krissy Hobbs,63,1.92,68,1,Stable Hand,PhD,78,Louisiana
149,Elfreda Harris,18,1.6,76,4,Gaming Board Inspector,Bachelor,68,South Dakota
150,Kyoko Romero,62,1.9,64,2,Ticket Inspector,Master,69,Louisiana
151,Agripina Fisher,20,1.86,75,4,Technical Author,Bachelor,76,Louisiana
152,Sebrina Lyons,53,1.74,59,4,Vehicle Engineer,Master,69,West Virginia
153,Shaquita Weeks,26,1.66,50,5,Machine Minder,PhD,66,Alaska
154,Naoma Dickson,41,1.93,64,0,Parts Supervisor,PhD,90,South Dakota
155,Shonna Peterson,40,1.96,62,3,Greengrocer,Master,71,Delaware
156,Audie Cabrera,60,1.75,75,2,Chimney Sweep,Master,68,Alaska
157,Corrin Livingston,67,1.96,38,5,Geophysicist,Master,82,West Virginia
158,Emmy Blake,57,1.73,54,2,Repair Man,PhD,88,Delaware
159,Charlsie Stephens,33,1.66,81,4,Purser,Master,70,Delaware
160,Synthia Tate,44,1.77,77,0,Lock Keeper,PhD,65,Delaware
161,Lashunda Delacruz,65,1.87,65,0,Chimney Sweep,Master,75,West Virginia
162,Fermina Patton,60,1.65,39,0,Payroll Clerk,Bachelor,88,Delaware
163,Lavenia Gross,35,1.69,47,1,Tree Surgeon,Master,70,South Dakota
164,Georgiann Clark,42,1.59,77,3,Machine Tool Fitter,Master,66,West Virginia
165,Eleni Diaz,32,1.73,54,3,Marquee Erector,PhD,71,West Virginia
166,Alia Vasquez,40,1.9,56,5,Violin Maker,Bachelor,74,Delaware
167,Catrice Huber,32,1.97,75,2,Script Writer,PhD,65,Delaware
168,Karlyn Jackson,43,1.92,50,3,Tax Inspector,Bachelor,75,Alaska
169,Jonie Harrell,22,1.79,74,2,Nurseryman,Bachelor,89,Alaska
170,Odelia Ferguson,40,1.5,81,5,Barrister,PhD,85,Louisiana
171,Tashina Sloan,43,1.95,56,1,Precision Engineer,Bachelor,86,Louisiana
172,Hae Moody,39,1.63,86,5,Gaming Club Manager,PhD,65,South Dakota
173,Consuela Velasquez,34,1.81,40,2,Shop Proprietor,Bachelor,70,Louisiana
174,Merri Randall,34,1.57,56,2,Sales Director,Bachelor,66,South Dakota
175,Hyon Camacho,56,1.89,61,4,Textile Consultant,Master,78,Alaska
176,Fallon Edwards,64,1.96,68,2,Plant Attendant,Bachelor,90,Alaska
177,Sherlene Woodard,45,1.54,86,1,Rent Offcer,PhD,84,Louisiana
178,Mertie Bradford,25,1.9,38,2,Typewriter Engineer,Bachelor,77,Louisiana
179,Shantelle Hall,30,1.84,81,2,Quality Engineer,PhD,73,South Dakota
180,Milda Bryant,63,1.84,68,0,Yacht Master,Master,78,South Dakota
181,Jeanice Newman,51,1.53,90,3,Operative,PhD,90,Louisiana
182,Petronila Burks,61,1.57,40,2,Technical Illustrator,Bachelor,88,Delaware
183,Contessa Dillard,41,1.94,46,3,Sports Coach,Master,78,South Dakota
184,Whitley Hogan,60,1.79,84,1,Sales Assistant,PhD,75,Louisiana
185,Coretta Small,38,1.74,64,2,Assistant Cook,PhD,86,South Dakota
186,Miki Daugherty,64,1.72,53,2,Child Minder,PhD,74,Louisiana
187,Micheal Maldonado,37,1.95,79,2,Breeder,Master,86,West Virginia
188,Kymberly Conner,38,1.98,90,3,Catering Staff,PhD,77,Alaska
189,Jadwiga Murray,53,1.82,39,0,Pig Manager,Bachelor,69,Delaware
190,Diamond Rutledge,44,1.78,42,4,Judge,PhD,86,West Virginia
191,Janessa Shaffer,61,1.93,59,1,Acoustic Engineer,Master,88,Delaware
192,Elfreda Calhoun,57,1.77,89,1,Clerk,PhD,83,Alaska
193,Anthony Callahan,43,1.51,88,1,Payroll Assistant,Bachelor,82,South Dakota
194,Fumiko Espinoza,37,1.53,85,3,Travel Agent,Bachelor,74,Delaware
195,Caprice Kane,45,1.72,61,4,Clergyman,Master,90,Louisiana
196,Terrilyn Davis,56,1.97,40,5,Training Officer,Master,85,Alaska
197,Sharleen Myers,47,1.98,41,3,Research Scientist,Master,79,West Virginia
198,Danika Kirby,61,1.86,66,0,Car Park Attendant,Master,71,Louisiana
199,Elli Bernard,48,1.56,77,5,Waiter,PhD,90,Delaware
200,Lynetta Harrell,60,2,71,2,Sports Coach,PhD,67,Alaska
201,Roni Briggs,50,1.9,45,5,Watchmaker,PhD,86,Louisiana
202,Janean Hoover,39,1.73,52,3,Plant Driver,Master,67,Delaware
203,Oralee Hobbs,61,1.86,58,3,Palaeobotanist,PhD,74,Delaware
204,Kathe Hansen,30,1.98,81,3,Building Inspector,Bachelor,69,South Dakota
205,China Brady,20,1.72,85,5,Proprietor,Bachelor,72,West Virginia
206,Bula Mckee,57,1.98,73,2,Flour Miller,Master,89,South Dakota
207,Marylouise Taylor,47,1.83,86,3,Bingo Caller,Master,78,Louisiana
208,Loida Green,30,1.55,70,1,Guest House Owner,PhD,87,West Virginia
209,Stephane Dean,49,1.92,60,4,Project Leader,Bachelor,77,Delaware
210,Lajuana Mccray,27,1.61,65,4,Window Dresser,Bachelor,85,South Dakota
211,Kiera Baird,66,1.59,82,2,Plant Engineer,Master,89,South Dakota
212,Alease Cohen,67,1.93,74,5,Research Consultant,Bachelor,78,Delaware
213,Elanor Reid,29,1.82,39,0,Tree Feller,Bachelor,90,Louisiana
214,Monet Hogan,47,1.73,48,2,Paint Consultant,PhD,66,Louisiana
215,Lyndia Rose,33,1.97,76,0,Biologist,Bachelor,68,West Virginia
216,Esta Rios,26,1.81,81,0,Metallurgist,Master,90,West Virginia
217,Renna Key,60,1.8,64,2,Laundry Staff,PhD,81,Louisiana
218,Debbi Goodwin,56,1.71,56,5,Tea Taster,PhD,75,West Virginia
219,Lilliam Barton,57,1.61,76,0,Administrator,Bachelor,88,Louisiana
220,Leoma Wilcox,45,1.61,46,2,Navigator,Master,82,West Virginia
221,Delpha Albert,28,1.75,65,1,Fraud Investigator,Master,88,West Virginia
222,Veronique Peters,46,1.62,73,5,Press Operator,Bachelor,73,Delaware
223,Olinda Stuart,58,1.87,65,0,Station Manager,Bachelor,73,Louisiana
224,Londa Mcdaniel,49,1.71,63,5,Sales Support,Master,85,Delaware
225,Deeann Herrera,35,1.51,58,1,Stationer,PhD,79,South Dakota
226,Melvin Boyer,63,1.72,44,1,Shipping Officer,PhD,74,Delaware
227,Ozella Lindsey,35,1.54,57,5,Plant Engineer,Bachelor,75,Alaska
228,Malika Roth,52,1.58,70,5,Delivery Driver,PhD,67,Delaware
229,Timika Cook,27,1.95,60,2,Golfer,Bachelor,72,West Virginia
230,Curtis Carroll,62,1.63,49,4,Groom,PhD,69,Delaware
231,Celestina Cline,22,1.98,78,3,Stock Controller,PhD,78,West Virginia
232,Serita Pacheco,39,1.96,74,5,Pattern Weaver,PhD,82,West Virginia
233,Lorilee Casey,44,1.72,68,3,Optical,Master,66,Delaware
234,Britni Green,44,1.75,57,3,Special Constable,Bachelor,77,Louisiana
235,Brittaney Hall,62,1.92,42,5,Caterer,PhD,65,Louisiana
236,Thora Harrison,42,1.73,73,5,Baggage Handler,Master,80,South Dakota
237,Grisel Garrison,40,1.8,70,1,Brewery Manager,Master,74,West Virginia
238,Cyrstal Serrano,44,1.95,59,5,Careers Officer,PhD,82,Louisiana
239,Fredda Barr,56,1.62,66,3,Transport Engineer,PhD,72,West Virginia
240,Etsuko Guy,32,1.69,56,3,Road Sweeper,Master,73,West Virginia
241,Bobbye Salazar,49,1.82,59,0,Physiologist,Bachelor,65,West Virginia
242,Neomi Fitzgerald,39,1.63,80,4,Graphologist,Master,86,West Virginia
243,Chau Mcguire,64,1.83,60,2,Recruitment Consultant,Bachelor,70,West Virginia
244,Chieko Fuentes,26,1.78,79,2,Forwarding Agent,PhD,84,Louisiana
245,Vanetta Brady,19,1.82,65,4,Production Engineer,Bachelor,77,Louisiana
246,Mercedez Frye,54,1.59,51,2,Tea Blender,Bachelor,86,South Dakota
247,Jerlene Cantrell,23,1.58,56,0,Ticket Inspector,PhD,85,West Virginia
248,Vanetta Barnes,26,1.83,87,4,Fund Raiser,PhD,79,Delaware
249,Moon Castillo,21,1.58,82,4,Highway Inspector,PhD,73,West Virginia
250,Ruthanne Barry,38,1.71,81,5,Loss Assessor,Master,71,West Virginia
251,Larry Riggs,38,1.87,66,1,Turf Accountant,Bachelor,75,West Virginia
252,Linh Woodward,35,1.9,68,1,Project Manager,PhD,89,West Virginia
253,Samara Jefferson,34,1.88,87,3,Textile Technician,PhD,67,West Virginia
254,Reanna Wooten,19,1.58,50,4,Garage Foreman,Master,88,Louisiana
255,Blythe Murphy,21,1.74,61,4,Church Officer,PhD,76,Delaware
256,Tory Stein,59,1.56,43,1,Meteorologist,Master,67,South Dakota
257,Tomoko Carson,66,1.92,43,1,Sound Engineer,Master,65,Delaware
258,Antonio Hinton,30,1.53,70,2,Locum Pharmacist,Master,65,Louisiana
259,Chaya Hansen,27,1.61,58,0,Pipe Inspector,Bachelor,72,Delaware
260,Dwana Barnett,48,1.64,68,5,Garage Manager,PhD,86,South Dakota
261,Sherlyn Hunt,54,1.81,43,0,Masseur,Bachelor,71,West Virginia
262,Elodia Marks,62,1.97,76,4,Screen Printer,Bachelor,73,Alaska
263,Latashia Dodson,28,1.65,41,1,Saw Miller,PhD,84,Louisiana
264,Sharie Benton,65,1.56,69,4,Typesetter,Bachelor,87,South Dakota
265,Torie Mccullough,67,1.62,47,2,Service Manager,Bachelor,70,Alaska
266,Maryetta Donovan,24,1.79,49,5,Carpenter,PhD,83,South Dakota
267,Melissia Best,37,1.98,72,4,Ticket Inspector,PhD,83,West Virginia
268,Angelyn Hayden,43,1.94,40,5,Radio Presenter,Master,87,Delaware
269,Katelin Richard,22,1.51,88,0,Plumber,Bachelor,83,Delaware
270,Cythia Roman,24,1.79,86,2,Furniture Remover,Bachelor,87,Alaska
271,Maryanna Mann,61,1.67,79,1,Stock Manager,PhD,84,South Dakota
272,Sommer Morrow,54,1.59,46,0,Stage Director,Bachelor,90,South Dakota
273,Lavenia Cox,40,1.52,50,0,Park Keeper,Master,82,West Virginia
274,Torri Hendricks,60,1.99,72,3,Marketing Assistant,Bachelor,76,South Dakota
275,Hana Fleming,50,1.68,87,0,Picture Editor,Master,85,Alaska
276,Despina Sargent,18,1.68,63,5,Shop Keeper,Master,78,West Virginia
277,Marg Young,24,1.59,82,3,Project Leader,PhD,78,Alaska
278,Khadijah Savage,58,1.54,65,0,Sheet Metal Worker,PhD,79,Delaware
279,Georgine Malone,45,1.65,44,0,Philatelist,PhD,70,Louisiana
280,Lavonna French,59,1.72,83,3,Historian,PhD,73,Louisiana
281,Saran Gray,52,1.72,84,2,Ship Builder,Master,89,West Virginia
282,Brittanie Blake,47,1.84,63,2,Toy Maker,PhD,78,Louisiana
283,Eugenie Williams,35,1.52,76,5,Shooting Instructor,Bachelor,75,Delaware
284,Diedre Berry,23,1.62,79,2,Production Engineer,Master,73,West Virginia
285,Arletta Mercer,33,1.58,66,2,Property Manager,Master,89,West Virginia
286,Chan Mccray,54,1.57,61,3,Panel Beater,PhD,84,West Virginia
287,Lajuana Duke,39,1.98,39,5,IT Manager,Master,65,West Virginia
288,Trang Harvey,38,1.96,45,2,Meat Inspector,PhD,70,West Virginia
289,Sean Dalton,31,2,56,5,Technical Director,Bachelor,76,Alaska
290,Dennise Campos,39,1.93,66,1,Site Engineer,Bachelor,73,Louisiana
291,Lovetta O'neill,62,1.67,42,4,Vehicle Assessor,Master,73,Louisiana
292,Leisha Stein,18,1.58,83,5,Horticulturalist,Master,81,Delaware
293,Tifany Dean,23,1.56,50,1,Lorry Driver,Master,72,West Virginia
294,Antonietta Guerrero,49,1.78,61,3,Watchmaker,Bachelor,82,Delaware
295,Christene Bernard,62,1.65,83,5,Tailor,PhD,80,West Virginia
296,Porsche Rogers,46,1.7,74,0,Foreman,Master,90,South Dakota
297,Cayla Hunter,23,1.73,71,2,Foster Parent,PhD,74,Delaware
298,Ghislaine Rodriquez,43,1.98,65,4,Body Fitter,Bachelor,87,Delaware
299,Treasa Castaneda,37,1.65,48,2,Licensing,Master,86,Louisiana
300,Trinity Valenzuela,41,1.64,43,2,Insurance Consultant,PhD,80,Louisiana
301,Yuko Ferguson,51,1.56,57,4,Tunneller,Bachelor,76,West Virginia
302,Terica Murphy,65,1.58,75,1,Horse Breeder,PhD,82,Alaska
303,Marceline Sparks,40,1.96,40,0,Car Salesman,Bachelor,87,West Virginia
304,Kenneth Nichols,35,1.61,74,3,Arts,Master,74,Alaska
305,Yang Floyd,32,1.82,57,3,Manicurist,PhD,68,Delaware
306,Pearlene Fox,38,1.73,82,0,Handyman,Master,68,Louisiana
307,Ranae Kent,66,1.73,59,4,Geologist,Master,87,Delaware
308,Love Rasmussen,30,1.99,60,3,Fuel Merchant,Master,71,West Virginia
309,Tora Maynard,35,1.55,53,3,Flour Miller,Master,88,Louisiana
310,Shae Dudley,66,1.57,41,2,Racehorse Groom,PhD,81,Louisiana
311,Rea Duffy,36,1.98,48,2,Palaeobotanist,Bachelor,68,Delaware
312,Eufemia Knox,36,2,67,3,Orthoptist,Master,72,Alaska
313,Annalee Bradford,29,1.97,70,3,Machine Tool Fitter,Bachelor,74,South Dakota
314,Maryetta Battle,63,1.53,69,4,Stud Hand,Master,82,Delaware
315,Voncile Alexander,35,1.92,65,1,Medical Physicist,PhD,66,South Dakota
316,Mertie Robles,53,1.7,40,3,Bill Poster,PhD,74,Delaware
317,Herma Gutierrez,58,1.78,42,3,Theatre Manager,Master,89,West Virginia
318,Yuette Finch,24,1.91,77,5,Envoy,Bachelor,65,Louisiana
319,Conchita Head,36,1.69,59,4,Progress Chaser,Bachelor,80,West Virginia
320,Hsiu Mendez,46,1.75,70,0,Bank Manager,Bachelor,75,Delaware
321,Dusti Pollard,21,1.67,68,4,Stable Hand,Bachelor,73,West Virginia
322,Torri Carey,25,1.66,77,2,Health Planner,Master,67,West Virginia
323,Leida Mcmahon,49,1.67,70,4,Technical Clerk,PhD,67,Louisiana
324,Leighann Justice,58,1.91,61,2,Cleric,Master,86,South Dakota
325,Lilla Santana,27,1.95,82,5,Armourer,PhD,69,Louisiana
326,Silva Espinoza,37,1.98,88,4,Lighthouse Keeper,PhD,67,Delaware
327,Blake Mcintosh,25,1.74,71,5,Purser,Bachelor,82,West Virginia
328,Junko Ball,56,1.79,82,0,Industrial Chemist,Bachelor,84,Louisiana
329,Samira Gallagher,32,1.71,64,5,Jazz Composer,Master,89,Louisiana
330,Tequila Rosales,42,1.81,68,5,Brewery Worker,PhD,79,West Virginia
331,Earlean Lester,37,1.6,58,5,Tacker,PhD,83,West Virginia
332,Moon Gallagher,37,1.98,67,4,Plastics Engineer,PhD,83,Louisiana
333,Maryrose Osborn,21,1.89,84,5,Medical Physicist,PhD,84,South Dakota
334,Sudie Contreras,66,1.98,55,4,Off Shore,Bachelor,71,Delaware
335,Leanora Rollins,34,1.64,51,5,Technical Assistant,Master,86,South Dakota
336,Sook Grant,28,1.78,88,5,Microbiologist,Master,72,Delaware
337,Denisse Mccray,53,1.84,62,3,Plumber,Bachelor,67,Delaware
338,Launa Barron,18,1.64,83,0,Polisher,Master,78,West Virginia
339,Kathline Richard,62,1.74,50,4,Metal Polisher,PhD,84,West Virginia
340,Kiyoko Cantrell,36,1.55,85,4,Machine Operator,Bachelor,66,Delaware
341,Billi Odom,36,1.95,52,5,Lithographer,Bachelor,87,Alaska
342,Creola Hines,62,1.67,68,0,Gaming Club Proprietor,Bachelor,79,South Dakota
343,Yuki Weaver,61,1.58,79,3,TV Editor,PhD,72,Alaska
344,Hue Rivera,58,1.98,58,2,Bookmaker,Bachelor,83,Delaware
345,Joella Lucas,45,1.87,40,1,Sales Support,Bachelor,68,Louisiana
346,Asley Snow,32,1.7,69,1,Navigator,Bachelor,85,Delaware
347,Ali Francis,35,1.78,44,2,Motor Engineer,Master,69,South Dakota
348,Xenia Lindsey,21,1.75,46,4,Store Detective,Master,70,Alaska
